epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4535,1.37729,2.47997,0.01864,0.81873,0.16278,0.2168,0.11611,1.40169,2.39287,0.02638,0.000331768,0.000331768,0.0671549
2,78.0898,1.33237,1.61145,0.01786,0.49911,0.4112,0.45953,0.31175,1.19995,1.45059,0.02032,0.000658517,0.000658517,0.0341483
3,114.681,1.28142,1.40194,0.01724,0.6334,0.56602,0.58669,0.4004,1.17444,1.27692,0.0197,0.000978666,0.000978666,0.00113516
4,149.321,1.2704,1.26485,0.01686,0.60659,0.5965,0.61364,0.40232,1.25639,1.16513,0.02399,0.0009703,0.0009703,0.0009703
5,185.748,1.2626,1.14951,0.01652,0.65856,0.66916,0.68653,0.48628,1.09979,1.02347,0.01896,0.0009604,0.0009604,0.0009604
6,221.12,1.22672,1.10301,0.01563,0.7322,0.68981,0.77207,0.56865,1.11143,0.90954,0.01877,0.0009505,0.0009505,0.0009505
7,257.016,1.20818,1.06457,0.0158,0.67771,0.69923,0.74773,0.54415,1.11963,0.89747,0.01965,0.0009406,0.0009406,0.0009406
8,293.482,1.16889,0.9805,0.01541,0.74952,0.70059,0.77072,0.57011,1.04842,0.8695,0.01747,0.0009307,0.0009307,0.0009307
9,327.734,1.17611,0.96591,0.01513,0.76123,0.76309,0.79601,0.58717,1.07227,0.834,0.01804,0.0009208,0.0009208,0.0009208
10,363.277,1.14372,0.93814,0.01456,0.74927,0.75278,0.80458,0.59797,1.07304,0.77638,0.01818,0.0009109,0.0009109,0.0009109
11,398.756,1.17137,0.90704,0.01478,0.68917,0.71638,0.73742,0.53375,1.03777,0.84059,0.01653,0.000901,0.000901,0.000901
12,433.093,1.15303,0.88229,0.01437,0.76083,0.79626,0.83755,0.61523,1.04293,0.67167,0.01694,0.0008911,0.0008911,0.0008911
13,470.286,1.13699,0.85367,0.01439,0.76446,0.79099,0.82849,0.62794,1.01854,0.75288,0.01585,0.0008812,0.0008812,0.0008812
14,508.746,1.12911,0.8285,0.0143,0.80037,0.7594,0.82634,0.62229,1.00901,0.72244,0.01603,0.0008713,0.0008713,0.0008713
15,543.764,1.14301,0.84112,0.01424,0.8124,0.81692,0.84887,0.64069,1.0137,0.67464,0.01624,0.0008614,0.0008614,0.0008614
16,582.156,1.11339,0.80478,0.01403,0.83068,0.79649,0.87684,0.66341,1.00801,0.63117,0.016,0.0008515,0.0008515,0.0008515
17,617.841,1.12899,0.78454,0.01401,0.7457,0.79594,0.84449,0.64231,1.00784,0.68624,0.01581,0.0008416,0.0008416,0.0008416
18,652.907,1.0951,0.76374,0.01388,0.78198,0.7544,0.81121,0.61247,0.98715,0.73092,0.01561,0.0008317,0.0008317,0.0008317
19,687.26,1.11578,0.76813,0.01411,0.79648,0.84455,0.873,0.67376,0.97003,0.62965,0.01492,0.0008218,0.0008218,0.0008218
20,721.603,1.10043,0.73674,0.01371,0.86428,0.82769,0.88228,0.66308,1.05368,0.62107,0.01747,0.0008119,0.0008119,0.0008119
21,757.074,1.0994,0.74954,0.01352,0.78574,0.8232,0.85614,0.65098,0.98649,0.6408,0.01597,0.000802,0.000802,0.000802
22,792.719,1.09675,0.73074,0.01338,0.79571,0.80828,0.85343,0.64805,0.96359,0.70506,0.01543,0.0007921,0.0007921,0.0007921
23,828.333,1.09312,0.71997,0.0135,0.79257,0.77999,0.85519,0.64863,0.98196,0.66747,0.01515,0.0007822,0.0007822,0.0007822
24,864.012,1.08638,0.7083,0.01366,0.80418,0.78834,0.86544,0.67095,0.96333,0.63372,0.01539,0.0007723,0.0007723,0.0007723
25,899.88,1.06106,0.69048,0.0128,0.83683,0.77832,0.87229,0.67776,0.93918,0.62419,0.01444,0.0007624,0.0007624,0.0007624
26,935.998,1.06742,0.68429,0.01311,0.78718,0.83799,0.87846,0.68964,0.94093,0.60434,0.01471,0.0007525,0.0007525,0.0007525
27,972.589,1.07991,0.6768,0.01317,0.84598,0.84529,0.89168,0.69326,0.93341,0.58192,0.01405,0.0007426,0.0007426,0.0007426
28,1010.19,1.05867,0.66993,0.01302,0.84402,0.81954,0.8869,0.68801,0.9597,0.6047,0.0151,0.0007327,0.0007327,0.0007327
29,1045.97,1.05255,0.6662,0.01262,0.85624,0.83934,0.89454,0.70254,0.93508,0.56637,0.01474,0.0007228,0.0007228,0.0007228
30,1081.52,1.05445,0.64648,0.01292,0.7866,0.83486,0.8657,0.68379,0.939,0.59978,0.0148,0.0007129,0.0007129,0.0007129
31,1115.9,1.06128,0.63596,0.0128,0.80112,0.85991,0.87854,0.7033,0.90142,0.58457,0.01399,0.000703,0.000703,0.000703
32,1150.46,1.04421,0.64766,0.0126,0.81308,0.87213,0.88732,0.69716,0.93968,0.59655,0.01475,0.0006931,0.0006931,0.0006931
33,1184.71,1.0448,0.64896,0.01268,0.87402,0.83701,0.90907,0.71377,0.93677,0.57016,0.01465,0.0006832,0.0006832,0.0006832
34,1219,1.02272,0.62754,0.01242,0.79443,0.82103,0.85499,0.67228,0.92723,0.65785,0.01423,0.0006733,0.0006733,0.0006733
